simulation,grader_type,rbf_score,accuracy,spearman
77,accuracy_70pct,78.1341354075078,0.74,0.6087277792115456
77,accuracy_60pct,77.24893043390497,0.72,0.6724216746114593
77,correlation_70pct,56.66368313911733,0.36,0.665294500085687
77,correlation_60pct,56.783259669035246,0.4,0.546379563591715
78,accuracy_80pct,88.0325479137358,0.84,0.8245712885002652
78,accuracy_70pct,82.8993530409342,0.76,0.793389006015928
78,accuracy_60pct,83.17856016630317,0.77,0.7504572585037907
78,correlation_70pct,59.42270909668742,0.43,0.5660802424990001
78,correlation_60pct,58.372480254499536,0.42,0.603737919866721
79,accuracy_80pct,87.32842968049509,0.84,0.7571567567869136
79,accuracy_70pct,80.75680765357579,0.77,0.6256163852885006
79,accuracy_60pct,79.98069648791306,0.72,0.7082592758238825
79,correlation_70pct,55.89540936955504,0.37,0.5937361762941633
79,correlation_60pct,57.42291450181666,0.41,0.5865431632749563
80,accuracy_80pct,88.96808443209113,0.86,0.8561548206853367
80,accuracy_70pct,79.51115497256055,0.75,0.6030578270769796
80,accuracy_60pct,73.1849804650834,0.69,0.403542785821356
80,correlation_70pct,58.87832408027701,0.4,0.6389644796313576
80,correlation_60pct,49.99668867444778,0.31,0.4799314532043207
81,accuracy_80pct,88.9679818107119,0.86,0.8544437842475101
81,accuracy_70pct,81.72589853509947,0.79,0.7518928495722372
81,accuracy_60pct,72.60673322136692,0.66,0.5211093846522725
81,correlation_70pct,55.91992132586044,0.43,0.503381113716654
81,correlation_60pct,49.636343588414576,0.31,0.5717901904574668
82,accuracy_80pct,91.88378779509719,0.89,0.8419589045778662
82,accuracy_70pct,82.85176944343833,0.77,0.7866839322463952
82,accuracy_60pct,80.70637348744405,0.77,0.5580183018086784
82,correlation_70pct,63.05920525313911,0.46,0.6455512131069601
82,correlation_60pct,59.14075402406182,0.41,0.595596705166273
83,accuracy_80pct,89.27799535199259,0.86,0.8234116916615493
83,accuracy_70pct,80.57256248044011,0.74,0.7067200268989358
83,accuracy_60pct,75.24913583903422,0.7,0.6644241736102101
83,correlation_70pct,57.81406600376157,0.4,0.5765155364656714
83,correlation_60pct,55.73588139548322,0.4,0.5963863952386881
84,accuracy_80pct,85.57713841646085,0.84,0.7514622576167959
84,accuracy_70pct,82.50809891761004,0.77,0.7656249498011831
84,accuracy_60pct,77.24628510802759,0.71,0.6445896169419799
84,correlation_70pct,59.715945456383935,0.43,0.6235682190595969
84,correlation_60pct,59.997900529009556,0.45,0.5995429658768303
85,accuracy_80pct,85.28105148812845,0.83,0.7006266518307293
85,accuracy_70pct,82.11430208978774,0.77,0.7280842681768922
85,accuracy_60pct,75.29682205790932,0.69,0.5789506060351354
85,correlation_70pct,64.93027828984977,0.5,0.6926271617496322
85,correlation_60pct,54.14401548414155,0.37,0.48561838233950166
86,accuracy_80pct,86.95151265563621,0.84,0.8245881013306166
